,Fallas
7245,2
7246,4
7247,4
7248,6
7249,5
7250,6
7251,2
7252,2
7253,7
7254,4
7255,4
7256,7
7257,4
7258,1
7259,3
7260,4
7261,5
7262,3
7263,5
7264,3
7265,7
7266,4
7267,3
7268,2
7269,1
7270,2
7271,9
7272,7
7273,8
7274,6
7275,6
7276,1
7277,6
7278,3
7279,4
7280,4
7281,3
7282,5
7283,3
7284,6
7285,4
7286,6
7287,8
7288,3
7289,7
7290,7
7291,7
7292,2
7293,3
7294,0
7295,3
7296,3
7297,8
7298,1
7299,8
7300,3
7301,7
7302,5
7303,3
7304,7
7305,3
7306,6
7307,3
7308,4
7309,3
7310,4
7311,1
7312,3
7313,5
7314,2
7315,5
7316,2
7317,5
7318,4
7319,1
7320,6
7321,4
7322,5
7323,1
7324,3
7325,2
7326,1
7327,5
7328,4
7329,5
7330,7
7331,5
7332,1
7333,1
7334,4
7335,3
7336,4
7337,3
7338,2
7339,5
7340,1
7341,1
7342,5
7343,2
7344,2
7345,6
7346,6
7347,0
7348,3
7349,6
7350,1
7351,4
7352,6
7353,4
7354,2
7355,4
7356,1
7357,3
7358,5
7359,4
7360,5
7361,5
7362,4
7363,3
7364,4
7365,2
7366,8
7367,4
7368,3
7369,1
7370,3
7371,2
7372,4
7373,3
7374,7
7375,6
7376,4
7377,3
7378,3
7379,6
7380,4
7381,5
7382,5
7383,6
7384,3
7385,7
7386,4
7387,4
7388,4
7389,4
7390,2
7391,6
7392,4
7393,4
7394,2
7395,4
7396,4
7397,3
7398,5
7399,3
7400,2
7401,4
7402,3
7403,4
7404,6
7405,3
7406,4
7407,3
7408,3
7409,5
7410,1
7411,2
7412,5
7413,1
7414,3
7415,1
7416,3
7417,6
7418,6
7419,7
7420,3
7421,4
7422,6
7423,1
7424,2
7425,4
7426,5
7427,3
7428,5
7429,3
7430,8
7431,3
7432,3
7433,6
7434,4
7435,5
7436,2
7437,5
7438,3
7439,6
7440,3
7441,4
7442,5
7443,5
7444,3
7445,2
7446,3
7447,4
7448,2
7449,4
7450,7
7451,4
7452,1
7453,4
7454,2
7455,6
7456,6
7457,2
7458,3
7459,7
7460,4
7461,5
7462,1
7463,7
7464,5
7465,5
7466,2
7467,6
7468,2
7469,2
7470,2
7471,2
7472,1
7473,4
7474,4
7475,2
7476,5
7477,3
7478,3
7479,4
7480,4
7481,8
7482,2
7483,2
7484,6
7485,1
7486,3
7487,3
7488,3
7489,3
7490,1
7491,2
7492,5
7493,3
7494,7
7495,3
7496,3
7497,4
7498,3
7499,4
7500,4
7501,6
7502,7
7503,3
7504,3
7505,2
7506,5
7507,2
7508,3
7509,3
7510,3
7511,2
7512,2
7513,3
7514,6
7515,4
7516,3
7517,7
7518,3
7519,5
7520,4
7521,2
7522,2
7523,3
7524,6
7525,3
7526,2
7527,6
7528,4
7529,2
7530,2
7531,1
7532,5
7533,3
7534,5
7535,2
7536,2
7537,0
7538,4
7539,3
7540,3
7541,2
7542,1
7543,5
7544,3
7545,9
7546,7
7547,4
7548,6
7549,5
7550,5
7551,2
7552,6
7553,4
7554,6
7555,2
7556,5
7557,2
7558,2
7559,1
7560,4
7561,4
7562,3
7563,4
7564,4
7565,3
7566,3
7567,6
7568,1
7569,2
7570,7
7571,2
7572,5
7573,3
7574,3
7575,4
7576,0
7577,3
7578,1
7579,0
7580,4
7581,5
7582,6
7583,2
7584,4
7585,5
7586,4
7587,3
7588,5
7589,3
7590,4
7591,4
7592,5
7593,5
7594,3
7595,10
7596,4
7597,5
7598,3
7599,8
7600,2
7601,5
7602,0
7603,3
7604,2
7605,2
7606,3
7607,5
7608,4
7609,3
7610,5
7611,0
7612,4
7613,4
7614,2
7615,3
7616,7
7617,4
7618,3
7619,3
7620,2
7621,3
7622,4
7623,1
7624,3
7625,1
7626,3
7627,8
7628,4
7629,1
7630,4
7631,4
7632,8
7633,5
7634,2
7635,6
7636,0
7637,4
7638,5
7639,7
7640,6
7641,4
7642,9
7643,3
7644,3
7645,4
7646,2
7647,2
7648,4
7649,2
7650,1
7651,5
7652,5
7653,3
7654,2
7655,1
7656,1
7657,3
7658,0
7659,3
7660,1
7661,6
7662,3
7663,3
7664,4
7665,7
7666,5
7667,9
7668,8
7669,1
7670,8
7671,4
7672,4
7673,6
7674,3
7675,4
7676,5
7677,7
7678,2
7679,6
7680,3
7681,2
7682,5
7683,4
7684,2
7685,2
7686,7
7687,6
7688,9
7689,4
7690,2
7691,3
7692,2
7693,3
7694,4
7695,4
7696,5
7697,3
7698,6
7699,2
7700,3
7701,6
7702,2
7703,8
7704,3
7705,1
7706,5
7707,4
7708,1
7709,4
7710,4
7711,8
7712,7
7713,5
7714,5
7715,4
7716,8
7717,6
7718,3
7719,5
7720,4
7721,3
7722,3
7723,5
7724,7
7725,5
7726,4
7727,2
7728,3
7729,5
7730,0
7731,6
7732,4
7733,5
7734,8
7735,5
7736,4
7737,4
7738,6
7739,3
7740,5
7741,6
7742,7
7743,4
7744,6
7745,1
7746,4
7747,4
7748,5
7749,4
7750,4
7751,2
7752,4
7753,4
7754,4
7755,3
7756,4
7757,5
7758,2
7759,3
7760,2
7761,5
7762,4
7763,4
7764,5
7765,7
7766,3
7767,3
7768,6
7769,2
7770,3
7771,3
7772,4
7773,4
7774,4
7775,3
7776,3
7777,6
7778,7
7779,3
7780,5
7781,4
7782,11
7783,3
7784,2
7785,4
7786,1
7787,2
7788,5
7789,8
7790,8
7791,4
7792,6
7793,3
7794,1
7795,7
7796,7
7797,5
7798,1
7799,3
7800,1
7801,3
7802,6
7803,4
7804,2
7805,4
7806,1
7807,1
7808,3
7809,7
7810,2
7811,6
7812,4
7813,7
7814,6
7815,3
7816,5
7817,1
7818,7
7819,3
7820,3
7821,5
7822,4
7823,3
7824,5
7825,4
7826,4
7827,2
7828,3
7829,6
7830,5
7831,5
7832,1
7833,1
7834,3
7835,7
7836,4
7837,7
7838,3
7839,4
7840,5
7841,3
7842,2
7843,2
7844,4
7845,5
7846,2
7847,2
7848,5
7849,0
7850,4
7851,1
7852,4
7853,5
7854,5
7855,3
7856,9
7857,4
7858,5
7859,4
7860,4
7861,4
7862,5
7863,3
7864,0
7865,2
7866,4
7867,5
7868,1
7869,2
7870,1
7871,5
7872,3
7873,2
7874,4
7875,4
7876,2
7877,5
7878,7
7879,3
7880,5
7881,4
7882,1
7883,2
7884,3
7885,6
7886,5
7887,6
7888,1
7889,4
7890,2
7891,4
7892,7
7893,3
7894,3
7895,4
7896,6
7897,3
7898,5
7899,5
7900,4
7901,9
7902,2
7903,3
7904,3
7905,2
7906,2
7907,7
7908,5
7909,1
7910,3
7911,6
7912,0
7913,5
7914,7
7915,4
7916,3
7917,5
7918,1
7919,5
7920,1
7921,6
7922,3
7923,1
7924,4
7925,5
7926,2
7927,8
7928,5
7929,1
7930,3
7931,2
7932,3
7933,2
7934,5
7935,1
7936,6
7937,4
7938,4
7939,4
7940,3
7941,1
7942,5
7943,3
7944,4
7945,3
7946,3
7947,5
7948,2
7949,4
7950,1
7951,3
7952,4
7953,4
7954,7
7955,3
7956,4
7957,3
7958,4
7959,4
7960,2
7961,4
7962,7
7963,4
7964,6
7965,2
7966,4
7967,6
7968,2
7969,5
7970,3
7971,2
7972,5
7973,5
7974,5
7975,3
7976,3
7977,3
7978,5
7979,2
7980,8
7981,3
7982,7
7983,3
7984,7
7985,5
7986,4
7987,4
7988,2
7989,2
7990,3
7991,6
7992,0
7993,4
7994,2
7995,1
7996,9
7997,7
7998,5
7999,3
8000,0
8001,2
8002,2
8003,5
8004,4
8005,3
8006,4
8007,1
8008,1
8009,4
8010,3
8011,0
8012,4
8013,4
8014,3
8015,2
8016,6
8017,3
8018,3
8019,2
8020,1
8021,6
8022,5
8023,3
8024,5
8025,3
8026,4
8027,3
8028,2
8029,5
8030,6
8031,5
8032,4
8033,3
8034,4
8035,4
8036,5
8037,0
8038,2
8039,7
8040,2
8041,3
8042,5
8043,0
8044,3
8045,4
8046,1
8047,6
8048,3
8049,4
8050,4
8051,3
8052,7
8053,4
8054,4
8055,4
8056,3
8057,8
8058,0
8059,6
8060,5
8061,6
8062,2
8063,3
8064,3
8065,3
8066,3
8067,6
8068,3
8069,1
8070,5
8071,1
8072,2
8073,6
8074,5
8075,2
8076,7
8077,4
8078,2
8079,4
8080,2
8081,5
8082,5
8083,3
8084,2
8085,2
8086,3
8087,1
8088,0
8089,6
8090,8
8091,3
8092,5
8093,1
8094,3
8095,3
8096,5
8097,6
8098,7
8099,3
8100,5
8101,5
8102,7
8103,3
8104,4
8105,6
8106,3
8107,1
8108,3
8109,3
8110,6
8111,2
8112,1
8113,2
8114,8
8115,4
8116,7
8117,2
8118,4
8119,4
8120,5
8121,4
8122,3
8123,4
8124,2
8125,6
8126,7
8127,6
8128,2
8129,4
8130,5
8131,2
8132,3
8133,5
8134,5
8135,0
8136,2
8137,2
8138,4
8139,6
8140,1
8141,4
8142,5
8143,2
8144,7
8145,4
8146,1
8147,2
8148,7
8149,5
8150,3
8151,7
8152,6
8153,8
8154,2
8155,5
8156,5
8157,5
8158,3
8159,6
8160,4
8161,3
8162,2
8163,3
8164,3
8165,4
8166,4
8167,6
8168,6
8169,6
8170,2
8171,4
8172,2
8173,4
8174,4
8175,6
8176,4
8177,8
8178,7
8179,4
8180,2
8181,6
8182,2
8183,4
8184,3
8185,7
8186,1
8187,3
8188,4
8189,3
8190,4
8191,3
8192,3
8193,4
8194,9
8195,4
8196,1
8197,5
8198,2
8199,3
8200,4
8201,4
8202,2
8203,3
8204,2
8205,4
8206,7
8207,0
8208,4
8209,4
8210,5
8211,7
8212,6
8213,1
8214,4
8215,7
8216,11
8217,2
8218,3
8219,3
8220,3
8221,6
8222,6
8223,5
8224,4
8225,4
8226,1
8227,1
8228,1
8229,6
8230,3
8231,3
8232,2
8233,4
8234,4
8235,1
8236,4
8237,4
8238,1
8239,3
8240,6
8241,6
8242,5
8243,3
8244,1
8245,5
8246,2
8247,2
8248,5
8249,8
8250,7
8251,3
8252,4
8253,3
8254,3
8255,5
8256,4
8257,3
8258,5
8259,3
8260,2
8261,9
8262,5
8263,9
8264,7
8265,5
8266,7
8267,6
8268,3
8269,7
8270,4
8271,2
8272,2
8273,2
8274,3
8275,10
8276,4
8277,1
8278,5
8279,3
8280,6
8281,5
8282,3
8283,7
8284,4
8285,6
8286,4
8287,1
8288,4
8289,5
8290,4
8291,1
8292,3
8293,3
8294,3
8295,8
8296,4
8297,5
8298,6
8299,6
8300,1
8301,5
8302,4
8303,5
8304,3
8305,3
8306,5
8307,3
8308,4
8309,5
8310,4
8311,8
8312,2
8313,7
8314,3
8315,3
8316,5
8317,1
8318,3
8319,3
8320,4
8321,3
8322,1
8323,4
8324,7
8325,3
8326,4
8327,3
8328,2
8329,7
8330,5
8331,4
8332,4
8333,3
8334,5
8335,1
8336,9
8337,4
8338,4
8339,7
8340,8
8341,1
8342,3
8343,7
8344,4
8345,2
8346,7
8347,4
8348,6
8349,5
8350,5
8351,2
8352,3
8353,4
8354,6
8355,4
8356,2
8357,6
8358,1
8359,4
8360,4
8361,1
8362,6
8363,8
8364,1
8365,3
8366,6
8367,8
8368,6
8369,1
8370,5
8371,4
8372,1
8373,5
8374,3
8375,3
8376,5
8377,5
8378,6
8379,1
8380,1
8381,1
8382,3
8383,6
8384,0
8385,4
8386,2
8387,5
8388,4
8389,1
8390,6
8391,4
8392,6
8393,4
8394,0
8395,4
8396,4
8397,1
8398,4
8399,1
8400,4
8401,3
8402,3
8403,5
8404,4
8405,4
8406,2
8407,3
8408,2
8409,5
8410,2
8411,5
8412,6
8413,2
8414,3
8415,8
8416,1
8417,3
8418,5
8419,1
8420,7
8421,5
8422,4
8423,1
8424,1
8425,4
8426,3
8427,5
8428,3
8429,1
8430,4
8431,4
8432,6
8433,5
8434,6
8435,5
8436,2
8437,6
8438,4
8439,3
8440,4
8441,3
8442,5
8443,4
8444,5
8445,2
8446,8
8447,2
8448,9
8449,2
8450,2
8451,4
8452,3
8453,5
8454,6
8455,3
8456,4
8457,5
8458,4
8459,2
8460,4
8461,1
8462,3
8463,5
8464,5
8465,4
8466,4
8467,3
8468,1
8469,1
8470,5
8471,1
8472,5
8473,3
8474,6
8475,3
8476,5
8477,3
8478,2
8479,3
8480,3
8481,3
8482,6
8483,5
8484,1
8485,4
8486,4
8487,4
8488,3
8489,2
8490,7
8491,4
8492,6
8493,1
8494,2
8495,5
8496,4
8497,8
8498,4
8499,6
8500,5
8501,4
8502,5
8503,7
8504,3
8505,4
8506,7
8507,3
8508,5
8509,9
8510,7
8511,3
8512,6
8513,2
8514,3
8515,3
8516,6
8517,2
8518,4
8519,6
8520,3
8521,6
8522,5
8523,4
8524,4
8525,5
8526,5
8527,4
8528,8
8529,1
8530,3
8531,1
8532,4
8533,6
8534,5
8535,3
8536,3
8537,2
8538,7
8539,2
8540,1
8541,4
8542,2
8543,5
8544,6
8545,3
8546,5
8547,5
8548,2
8549,4
8550,4
8551,3
8552,1
8553,0
8554,6
8555,4
8556,8
8557,2
8558,5
8559,2
8560,1
8561,5
8562,5
8563,3
8564,4
8565,5
8566,4
8567,3
8568,4
8569,2
8570,2
8571,5
8572,7
8573,9
8574,3
8575,9
8576,3
8577,4
8578,2
8579,3
8580,3
8581,2
8582,3
8583,6
8584,5
8585,5
8586,3
8587,6
8588,4
8589,3
8590,6
8591,1
8592,7
8593,4
8594,3
8595,1
8596,2
8597,3
8598,6
8599,3
8600,7
8601,3
8602,4
8603,2
8604,6
8605,3
8606,5
8607,2
8608,2
8609,4
8610,4
8611,5
8612,4
8613,2
8614,6
8615,1
8616,5
8617,5
8618,6
8619,4
8620,4
8621,4
8622,6
8623,2
8624,2
8625,2
8626,4
8627,4
8628,4
8629,4
8630,4
8631,6
8632,4
8633,4
8634,3
8635,4
8636,2
8637,5
8638,4
8639,5
8640,5
8641,3
8642,6
8643,3
8644,7
8645,4
8646,4
8647,2
8648,5
8649,3
8650,5
8651,2
8652,3
8653,4
8654,6
8655,7
8656,2
8657,5
8658,5
8659,5
8660,1
8661,3
8662,5
8663,2
8664,3
8665,3
8666,3
8667,6
8668,6
8669,5
8670,6
8671,2
8672,3
8673,1
8674,2
8675,4
8676,3
8677,4
8678,4
8679,4
8680,6
8681,1
8682,3
8683,1
8684,5
8685,2
8686,11
8687,1
8688,4
8689,4
8690,4
8691,3
8692,4
8693,4
8694,2
8695,3
8696,5
8697,5
8698,6
8699,2
8700,3
8701,3
8702,6
8703,4
8704,3
8705,4
8706,3
8707,3
8708,4
8709,5
8710,3
8711,4
8712,2
8713,4
8714,3
8715,3
8716,3
8717,2
8718,5
8719,8
8720,3
8721,1
8722,2
8723,4
8724,6
8725,3
8726,7
8727,3
8728,4
8729,6
8730,3
8731,2
8732,5
8733,6
8734,3
8735,6
8736,5
8737,0
8738,2
8739,4
8740,3
8741,4
8742,2
8743,3
8744,4
8745,5
8746,4
8747,3
8748,2
8749,9
8750,4
8751,6
8752,4
8753,1
8754,6
8755,2
8756,1
8757,5
8758,7
8759,6
8760,1
8761,2
8762,5
8763,5
8764,5
8765,5
8766,7
8767,4
8768,6
8769,3
8770,5
8771,2
8772,6
8773,1
8774,7
8775,3
8776,3
8777,3
8778,4
8779,7
8780,0
8781,2
8782,2
8783,4
8784,4
8785,2
8786,6
8787,3
8788,3
8789,4
8790,2
8791,7
8792,5
8793,4
8794,1
8795,2
8796,2
8797,2
8798,4
8799,5
8800,5
8801,0
8802,3
8803,7
8804,1
8805,6
8806,5
8807,2
8808,3
8809,3
8810,2
8811,3
8812,2
8813,4
8814,7
8815,5
8816,8
8817,2
8818,6
8819,6
8820,5
8821,4
8822,4
8823,4
8824,6
8825,3
8826,1
8827,5
8828,7
8829,7
8830,3
8831,7
8832,7
8833,4
8834,1
8835,5
8836,6
8837,3
8838,4
8839,5
8840,4
8841,8
8842,3
8843,4
8844,3
8845,0
8846,8
8847,11
8848,4
8849,3
8850,6
8851,3
8852,11
8853,5
8854,5
8855,3
8856,2
8857,5
8858,6
8859,2
8860,6
8861,3
8862,2
8863,6
8864,1
8865,1
8866,1
8867,4
8868,5
8869,3
8870,4
8871,2
8872,3
8873,4
8874,3
8875,5
8876,1
8877,4
8878,6
8879,6
8880,4
8881,5
8882,3
8883,5
8884,4
8885,4
8886,4
8887,3
8888,5
8889,6
8890,6
8891,6
8892,7
8893,5
8894,4
8895,3
8896,5
8897,4
8898,2
8899,1
8900,3
8901,2
8902,4
8903,5
8904,10
8905,4
8906,4
8907,4
8908,1
8909,7
8910,4
8911,0
8912,3
8913,3
8914,4
8915,5
8916,3
8917,5
8918,4
8919,6
8920,4
8921,7
8922,6
8923,3
8924,7
8925,2
8926,2
8927,11
8928,5
8929,2
8930,4
8931,2
8932,4
8933,2
8934,4
8935,5
8936,2
8937,3
8938,2
8939,4
8940,4
8941,3
8942,6
8943,2
8944,4
8945,5
8946,10
8947,7
8948,6
8949,4
8950,4
8951,2
8952,5
8953,4
8954,2
8955,3
8956,9
8957,7
8958,2
8959,4
8960,2
8961,2
8962,4
8963,2
8964,5
8965,6
8966,3
8967,5
8968,4
8969,4
8970,5
8971,6
8972,3
8973,10
8974,1
8975,2
8976,4
8977,4
8978,4
8979,4
8980,8
8981,6
8982,2
8983,3
8984,6
8985,1
8986,1
8987,5
8988,4
8989,5
8990,2
8991,1
8992,3
8993,4
8994,5
8995,5
8996,1
8997,6
8998,2
8999,2
9000,2
9001,3
9002,2
9003,2
9004,4
9005,3
9006,2
9007,4
9008,3
9009,4
9010,6
9011,1
9012,2
9013,2
9014,3
9015,6
9016,7
9017,3
9018,3
9019,5
9020,8
9021,5
9022,3
9023,2
9024,1
9025,2
9026,3
9027,1
9028,5
9029,3
9030,4
9031,6
9032,7
9033,1
9034,3
9035,6
9036,6
9037,1
9038,5
9039,8
9040,3
9041,6
9042,2
9043,3
9044,2
9045,3
9046,0
9047,10
9048,1
9049,5
9050,4
9051,3
9052,9
9053,3
9054,2
9055,1
9056,4
9057,3
9058,3
9059,2
9060,3
9061,3
9062,5
9063,9
9064,2
9065,4
9066,1
9067,0
9068,4
9069,4
9070,5
9071,4
9072,5
9073,3
9074,6
9075,2
9076,7
9077,4
9078,3
9079,4
9080,5
9081,3
9082,3
9083,6
9084,4
9085,5
9086,8
9087,4
9088,1
9089,1
9090,7
9091,4
9092,3
9093,2
9094,3
9095,8
9096,3
9097,6
9098,7
9099,5
9100,5
9101,8
9102,4
9103,2
9104,5
9105,6
9106,8
9107,6
9108,4
9109,8
9110,3
9111,5
9112,4
9113,9
9114,2
9115,3
9116,3
9117,5
9118,3
9119,7
9120,3
9121,7
9122,4
9123,4
9124,3
9125,6
9126,2
9127,2
9128,5
9129,2
9130,3
9131,7
9132,3
9133,2
9134,3
9135,4
9136,3
9137,5
9138,5
9139,5
9140,3
9141,6
9142,5
9143,2
9144,1
9145,3
9146,2
9147,4
9148,3
9149,3
9150,4
9151,2
9152,3
9153,2
9154,3
9155,2
9156,2
9157,5
9158,4
9159,2
9160,3
9161,11
9162,5
9163,4
9164,2
9165,3
9166,8
9167,4
9168,5
9169,4
9170,7
9171,3
9172,5
9173,8
9174,5
9175,4
9176,3
9177,5
9178,2
9179,4
9180,2
9181,4
9182,3
9183,1
9184,0
9185,2
9186,4
9187,5
9188,5
9189,3
9190,8
9191,2
9192,4
9193,2
9194,1
9195,5
9196,3
9197,1
9198,5
9199,6
9200,4
9201,7
9202,2
9203,1
9204,2
9205,3
9206,3
9207,2
9208,3
9209,2
9210,5
9211,2
9212,2
9213,5
9214,3
9215,4
9216,9
9217,6
9218,5
9219,5
9220,6
9221,4
9222,5
9223,5
9224,8
9225,3
9226,5
9227,4
9228,6
9229,4
9230,3
9231,0
9232,7
9233,4
9234,5
9235,1
9236,4
9237,3
9238,2
9239,6
9240,8
9241,5
9242,2
9243,9
9244,1
9245,4
9246,2
9247,7
9248,4
9249,1
9250,3
9251,0
9252,5
9253,7
9254,6
9255,2
9256,2
9257,3
9258,2
9259,3
9260,2
9261,6
9262,4
9263,5
9264,3
9265,4
9266,2
9267,7
9268,5
9269,3
9270,4
9271,2
9272,1
9273,2
9274,6
9275,7
9276,4
9277,6
9278,3
9279,6
9280,2
9281,1
9282,3
9283,5
9284,3
9285,5
9286,6
9287,2
9288,2
9289,3
9290,3
9291,6
9292,5
9293,2
9294,2
9295,4
9296,4
9297,4
9298,4
9299,2
9300,6
9301,3
9302,2
9303,3
9304,4
9305,2
9306,4
9307,4
9308,5
9309,5
9310,4
9311,2
9312,6
9313,6
9314,5
9315,3
9316,6
9317,5
9318,1
9319,4
9320,3
9321,2
9322,7
9323,7
9324,5
9325,5
9326,7
9327,2
9328,5
9329,4
9330,2
9331,7
9332,6
9333,3
9334,1
9335,2
9336,2
9337,4
9338,5
9339,5
9340,4
9341,7
9342,2
9343,5
9344,4
9345,5
9346,8
9347,4
9348,5
9349,7
9350,3
9351,3
9352,1
9353,3
9354,2
9355,3
9356,5
9357,3
9358,3
9359,1
9360,3
9361,3
9362,5
9363,5
9364,2
9365,6
9366,5
9367,3
9368,6
9369,2
9370,2
9371,8
9372,2
9373,7
9374,3
9375,5
9376,6
9377,7
9378,2
9379,4
9380,3
9381,3
9382,4
9383,4
9384,4
9385,7
9386,3
9387,6
9388,1
9389,5
9390,8
9391,3
9392,5
9393,11
9394,4
9395,5
9396,3
9397,5
9398,2
9399,3
9400,5
9401,3
9402,2
9403,5
9404,4
9405,4
9406,5
9407,5
9408,5
9409,1
9410,3
9411,3
9412,5
9413,2
9414,2
9415,3
9416,2
9417,5
9418,5
9419,6
9420,4
9421,2
9422,3
9423,4
9424,7
9425,5
9426,0
9427,5
9428,4
9429,4
9430,5
9431,3
9432,4
9433,5
9434,4
9435,4
9436,3
9437,1
9438,3
9439,5
9440,3
9441,2
9442,3
9443,4
9444,6
9445,4
9446,1
9447,4
9448,4
9449,3
9450,0
9451,3
9452,1
9453,6
9454,4
9455,4
9456,4
9457,6
9458,0
9459,1
9460,3
9461,7
9462,2
9463,2
9464,2
9465,4
9466,3
9467,2
9468,7
9469,5
9470,1
9471,5
9472,2
9473,4
9474,1
9475,2
9476,4
9477,1
9478,7
9479,4
9480,6
9481,3
9482,2
9483,1
9484,3
9485,6
9486,4
9487,7
9488,4
9489,5
9490,5
9491,5
9492,4
9493,3
9494,5
9495,5
9496,1
9497,2
9498,2
9499,9
9500,5
9501,2
9502,4
9503,5
9504,3
9505,4
9506,4
9507,5
9508,3
9509,8
9510,2
9511,2
9512,3
9513,11
9514,3
9515,3
9516,3
9517,4
9518,8
9519,3
9520,4
9521,5
9522,4
9523,4
9524,3
9525,5
9526,4
9527,7
9528,3
9529,5
9530,8
9531,5
9532,6
9533,4
9534,2
9535,3
9536,5
9537,7
9538,4
9539,3
9540,0
9541,3
9542,4
9543,6
9544,3
9545,4
9546,4
9547,7
9548,2
9549,7
9550,0
9551,4
9552,5
9553,5
9554,4
9555,2
9556,1
9557,2
9558,2
9559,5
9560,4
9561,3
9562,8
9563,4
9564,5
9565,7
9566,2
9567,6
9568,5
9569,2
9570,4
9571,2
9572,1
9573,3
9574,4
9575,5
9576,1
9577,3
9578,3
9579,7
9580,5
9581,5
9582,6
9583,5
9584,8
9585,4
9586,3
9587,3
9588,5
9589,2
9590,2
9591,7
9592,3
9593,2
9594,6
9595,5
9596,2
9597,2
9598,3
9599,3
9600,9
9601,3
9602,3
9603,0
9604,3
9605,1
9606,1
9607,5
9608,1
9609,3
9610,6
9611,5
9612,6
9613,3
9614,5
9615,5
9616,6
9617,4
9618,5
9619,6
9620,9
9621,5
9622,2
9623,2
9624,2
9625,6
9626,9
9627,3
9628,3
9629,2
9630,6
9631,4
9632,8
9633,6
9634,3
9635,4
9636,5
9637,6
9638,4
9639,1
9640,1
9641,2
9642,3
9643,3
9644,8
9645,3
9646,3
9647,2
9648,9
9649,4
9650,6
9651,4
9652,2
9653,3
9654,6
9655,5
9656,5
9657,3
9658,3
9659,4
9660,2
9661,0
9662,4
9663,5
9664,3
9665,7
9666,1
9667,4
9668,4
9669,3
9670,5
9671,4
9672,3
9673,6
9674,3
9675,3
9676,4
9677,3
9678,4
9679,4
9680,3
9681,1
9682,8
9683,2
9684,4
9685,7
9686,3
9687,5
9688,3
9689,6
9690,1
9691,4
9692,5
9693,5
9694,0
9695,5
9696,2
9697,2
9698,4
9699,3
9700,0
9701,6
9702,8
9703,4
9704,2
9705,2
9706,2
9707,6
9708,1
9709,4
9710,4
9711,3
9712,3
9713,2
9714,2
9715,6
9716,7
9717,6
9718,3
9719,2
9720,3
9721,5
9722,6
9723,4
9724,4
9725,10
9726,2
9727,8
9728,4
9729,1
9730,3
9731,9
9732,4
9733,7
9734,4
9735,3
9736,3
9737,6
9738,2
9739,1
9740,3
9741,3
9742,3
9743,2
9744,7
9745,9
9746,3
9747,5
9748,1
9749,2
9750,2
9751,2
9752,1
9753,1
9754,6
9755,6
9756,5
9757,3
9758,3
9759,5
9760,3
9761,2
9762,3
9763,2
9764,3
9765,4
9766,4
9767,3
9768,6
9769,0
9770,5
9771,3
9772,3
9773,3
9774,7
9775,3
9776,2
9777,6
9778,4
9779,7
9780,5
9781,3
9782,5
9783,3
9784,7
9785,3
9786,3
9787,6
9788,6
9789,2
9790,2
9791,8
9792,1
9793,4
9794,7
9795,2
9796,1
9797,6
9798,4
9799,4
9800,7
9801,4
9802,3
9803,4
9804,1
9805,6
9806,5
9807,7
9808,4
9809,6
9810,4
9811,3
9812,8
9813,4
9814,4
9815,2
9816,4
9817,3
9818,6
9819,5
9820,3
9821,7
9822,5
9823,2
9824,5
9825,3
9826,4
9827,2
9828,6
9829,2
9830,4
9831,4
9832,8
9833,4
9834,3
9835,6
9836,2
9837,5
9838,3
9839,1
9840,3
9841,8
9842,8
9843,5
9844,5
9845,1
9846,3
9847,4
9848,3
9849,4
9850,4
9851,2
9852,6
9853,2
9854,5
9855,1
9856,8
9857,2
9858,3
9859,9
9860,3
9861,3
9862,8
9863,4
9864,1
9865,4
9866,2
9867,3
9868,4
9869,4
9870,4
9871,3
9872,5
9873,4
9874,4
9875,1
9876,4
9877,8
9878,2
9879,5
9880,7
9881,5
9882,6
9883,6
9884,5
9885,3
9886,5
9887,1
9888,4
9889,1
9890,3
9891,4
9892,6
9893,7
9894,5
9895,7
9896,4
9897,3
9898,3
9899,1
9900,4
9901,2
9902,6
9903,4
9904,4
9905,3
9906,3
9907,4
9908,8
9909,2
9910,3
9911,2
9912,3
9913,8
9914,3
9915,4
9916,2
9917,3
9918,1
9919,6
9920,3
9921,8
9922,3
9923,2
9924,2
9925,3
9926,4
9927,1
9928,6
9929,6
9930,2
9931,3
9932,6
9933,1
9934,4
9935,8
9936,8
9937,1
9938,5
9939,2
9940,4
9941,9
9942,7
9943,8
9944,9
9945,6
9946,3
9947,4
9948,1
9949,4
9950,2
9951,3
9952,1
9953,3
9954,4
9955,6
9956,5
9957,7
9958,2
9959,5
9960,4
9961,2
9962,4
9963,5
9964,5
9965,6
9966,4
9967,6
9968,5
9969,7
9970,2
9971,4
9972,5
9973,0
9974,0
9975,2
9976,2
9977,6
9978,3
9979,4
9980,2
9981,2
9982,6
9983,5
9984,2
9985,4
9986,7
9987,3
9988,8
9989,4
9990,3
9991,2
9992,4
9993,3
9994,4
9995,6
9996,5
9997,3
9998,5
9999,3
10000,3
10001,5
10002,6
10003,2
10004,4
10005,1
10006,6
10007,3
10008,6
10009,4
10010,3
10011,4
10012,2
10013,3
10014,5
10015,4
10016,4
10017,4
10018,5
10019,3
10020,3
10021,0
10022,6
10023,2
10024,3
10025,3
10026,1
10027,4
10028,9
10029,5
10030,2
10031,3
10032,4
10033,2
10034,1
10035,2
10036,6
10037,2
10038,7
10039,4
10040,4
10041,1
10042,3
